,Name,Ratings,Genres,Descriptin
0,Demon Slayer: Kimetsu No Yaiba,8.7,"Action, Adventure","A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister."
1,Hunter x Hunter,9,"Action, Adventure","Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger."
2,Death Note: Desu nôto,9,"Crime, Drama",An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
3,Vinland Saga,8.8,"Action, Adventure",Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.
4,JoJo no kimyô-na bôken,8.4,"Action, Adventure","The story of the Joestar family, who are possessed with intense psychic strength, and the adventures each member encounters throughout their lives."
5,One Punch Man: Wanpanman,8.7,"Action, Comedy","The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch."
6,Kaubôi bibappu,8.9,"Action, Adventure",The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.
7,Kenpû Denki Berserk,8.7,"Action, Adventure","Guts is a skilled swordsman who joins forces with a mercenary group named 'The Band of the Hawk', lead by the charismatic Griffith, and fights with them as they battle their way into the royal court."
8,Shin seiki evangerion,8.5,"Action, Drama",A teenage boy finds himself recruited as a member of an elite team of pilots by his father.
9,Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,8.7,"Action, Drama","After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all powerful empire"
10,Monster,8.7,"Crime, Drama",A brilliant neurosurgeon finds his life in utter turmoil after getting involved with a psychopathic former patient.
11,Steins;Gate,8.8,"Comedy, Drama","After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans."
12,Trigun,8.2,"Action, Adventure",Vash the Stampede is the most infamous outlaw on the planet Gunsmoke and with a 60 billion double dollar price on his head the most sought after!
13,Erufen rîto,8,"Action, Drama","Two university students come across a seemingly harmless girl named Lucy, unaware that she's actually a mutant serial killer with a split personality."
